,PMT,Intrest,Principal,Additional_Payment,Principal Left
0,250.93202069803988,200.0,50.93202069803988,100.0,30000.0
1,250.93202069803988,198.99378652867975,51.93823416936013,100.0,29849.06797930196
2,250.93202069803988,197.98086496755067,52.951155730489205,100.0,29697.1297451326
3,250.93202069803988,196.96119059601406,53.970830102025815,100.0,29544.17858940211
4,250.93202069803988,195.9347183953339,54.997302302705975,100.0,29390.207759300083
5,250.93202069803988,194.9014030466492,56.030617651390685,100.0,29235.210456997378
6,250.93202069803988,193.86119892897327,57.07082176906661,100.0,29079.179839345987
7,250.93202069803988,192.81406011717948,58.1179605808604,100.0,28922.10901757692
8,250.93202069803988,191.75994037997373,59.17208031806615,100.0,28763.99105699606
9,250.93202069803988,190.6987931778533,60.233227520186574,100.0,28604.818976677994
10,250.93202069803988,189.63057166105204,61.30144903698783,100.0,28444.585749157806
11,250.93202069803988,188.55522866747214,62.37679203056774,100.0,28283.284300120817
12,250.93202069803988,187.47271672060165,63.459303977438225,100.0,28120.907508090248
13,250.93202069803988,186.38298802741875,64.54903267062113,100.0,27957.44820411281
14,250.93202069803988,185.28599447628127,65.6460262217586,100.0,27792.89917144219
15,250.93202069803988,184.1816876348029,66.75033306323698,100.0,27627.25314522043
16,250.93202069803988,183.07001874771464,67.86200195032524,100.0,27460.502812157196
17,250.93202069803988,181.95093873471248,68.9810819633274,100.0,27292.64081020687
18,250.93202069803988,180.8243981882903,70.10762250974958,100.0,27123.659728243543
19,250.93202069803988,179.69034737155863,71.24167332648125,100.0,26953.552105733794
20,250.93202069803988,178.54873621604878,72.3832844819911,100.0,26782.310432407314
21,250.93202069803988,177.39951431950215,73.53250637853773,100.0,26609.927147925322
22,250.93202069803988,176.24263094364522,74.68938975439465,100.0,26436.394641546784
23,250.93202069803988,175.07803501194925,75.85398568609062,100.0,26261.705251792388
24,250.93202069803988,173.90567510737532,77.02634559066456,100.0,26085.851266106296
25,250.93202069803988,172.7254994701042,78.20652122793567,100.0,25908.82492051563
26,250.93202069803988,171.53745599525132,79.39456470278856,100.0,25730.618399287698
27,250.93202069803988,170.34149223056608,80.5905284674738,100.0,25551.22383458491
28,250.93202069803988,169.13755537411626,81.79446532392362,100.0,25370.633306117437
29,250.93202069803988,167.92559227195676,83.00642842608312,100.0,25188.838840793513
30,250.93202069803988,166.70554941578285,84.22647128225702,100.0,25005.83241236743
31,250.93202069803988,165.47737294056782,85.45464775747206,100.0,24821.60594108517
32,250.93202069803988,164.24100862218467,86.69101207585521,100.0,24636.151293327697
33,250.93202069803988,162.99640187501228,87.9356188230276,100.0,24449.460281251842
34,250.93202069803988,161.74349774952546,89.18852294851442,100.0,24261.524662428816
35,250.93202069803988,160.48224092986868,90.4497797681712,100.0,24072.3361394803
36,250.93202069803988,159.2125757314142,91.71944496662567,100.0,23881.886359712127
37,250.93202069803988,157.93444609830337,92.99757459973651,100.0,23690.166914745503
38,250.93202069803988,156.6477956009718,94.28422509706809,100.0,23497.169340145767
39,250.93202069803988,155.352567433658,95.57945326438187,100.0,23302.8851150487
40,250.93202069803988,154.04870441189547,96.8833162861444,100.0,23107.305661784318
41,250.93202069803988,152.73614896998782,98.19587172805205,100.0,22910.422345498173
42,250.93202069803988,151.4148431584675,99.51717753957237,100.0,22712.226473770123
43,250.93202069803988,150.08472864153703,100.84729205650285,100.0,22512.70929623055
44,250.93202069803988,148.74574669449365,102.18627400354623,100.0,22311.862004174047
45,250.93202069803988,147.39783820113666,103.53418249690321,100.0,22109.6757301705
46,250.93202069803988,146.0409436511573,104.89107704688257,100.0,21906.141547673597
47,250.93202069803988,144.67500313751142,106.25701756052845,100.0,21701.250470626714
48,250.93202069803988,143.29995635377458,107.6320643442653,100.0,21494.993453066185
49,250.93202069803988,141.91574259147947,109.0162781065604,100.0,21287.361388721918
50,250.93202069803988,140.52230073743573,110.40971996060415,100.0,21078.34511061536
51,250.93202069803988,139.1195692710317,111.81245142700817,100.0,20867.935390654755
52,250.93202069803988,137.7074862615183,113.22453443652157,100.0,20656.122939227746
53,250.93202069803988,136.28598936527484,114.64603133276503,100.0,20442.898404791224
54,250.93202069803988,134.8550158230564,116.07700487498349,100.0,20228.252373458457
55,250.93202069803988,133.41450245722316,117.51751824081671,100.0,20012.175368583474
56,250.93202069803988,131.96438566895105,118.96763502908883,100.0,19794.657850342657
57,250.93202069803988,130.50460143542378,120.4274192626161,100.0,19575.690215313567
58,250.93202069803988,129.03508530700637,121.89693539103351,100.0,19355.262796050953
59,250.93202069803988,127.55577240439948,123.3762482936404,100.0,19133.36586065992
60,250.93202069803988,126.0665974157752,124.86542328226467,100.0,18909.98961236628
61,250.93202069803988,124.56749459389343,126.36452610414645,100.0,18685.124189084014
62,250.93202069803988,123.05839775319913,127.87362294484075,100.0,18458.759662979868
63,250.93202069803988,121.5392402669002,129.39278043113967,100.0,18230.886040035028
64,250.93202069803988,120.00995506402593,130.92206563401396,100.0,18001.49325960389
65,250.93202069803988,118.47047462646583,132.46154607157405,100.0,17770.571193969874
66,250.93202069803988,116.92073098598868,134.0112897120512,100.0,17538.1096478983
67,250.93202069803988,115.36065572124167,135.5713649767982,100.0,17304.09835818625
68,250.93202069803988,113.7901799547297,137.14184074331018,100.0,17068.526993209452
69,250.93202069803988,112.2092343497743,138.72278634826557,100.0,16831.385152466144
70,250.93202069803988,110.61774910745252,140.31427159058734,100.0,16592.66236611788
71,250.93202069803988,109.01565396351528,141.91636673452462,100.0,16352.34809452729
72,250.93202069803988,107.40287818528512,143.52914251275476,100.0,16110.431727792766
